id,dataset_name,edit_type,source_image,target_image,mask_path,source_prompt,target_prompt,editing_instruction,clip_score,clip_score_category,turn_index,source_parquet,sample_key,foreground,foreground_target,qwen_edit_type,vlm_confidence,vlm_notes,vlm_model,vlm_error,chordedit_sample_id,chordedit_image_path
imgedit_00000000_00,imgedit,action,hOdCsLRNAyw_segment_21_frame_0.jpg,hOdCsLRNAyw_segment_21_frame_55.jpg,,"A bald man with glasses and a beard is sitting on a couch, holding a music sheet titled 'Dreaming of Me' by Depeche Mode.","A bald man with glasses and a beard is sitting on a couch, holding a music sheet titled 'Dreaming of Me' by Depeche Mode, with the record now lowered closer to his chest.",The person lowers the record closer to their chest.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,hOdCsLRNAyw_segment_21_frame_0,record,record closer to chest,action,high,"The record is held at a lower position, closer to the chest, in the target image.",Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000000_00,imgedit_00000000_00.png
imgedit_00000001_00,imgedit,action,unbUoB70fkk_segment_5_frame_32.jpg,unbUoB70fkk_segment_5_frame_87.jpg,,A woman with long dark hair holds an eyeliner brush near her face while applying makeup.,A woman with long dark hair holds an eyeliner brush near her face and looks at the camera with a surprised expression.,The subject holds an eyeliner brush near their face.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,unbUoB70fkk_segment_5_frame_32,eyeliner brush,eyeliner brush,action,high,"The woman's facial expression changes from neutral to surprised, indicating a change in her emotional state or reaction to the product.",Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000001_00,imgedit_00000001_00.png
imgedit_00000002_00,imgedit,action,Kgrdxxd90Yk_segment_151_frame_164.jpg,Kgrdxxd90Yk_segment_151_frame_219.jpg,,"A man wearing a face mask sits inside a boat, holding a raised hand.","A man wearing a face mask sits inside a boat, with his hand lowered and placed near his face.",The person lowers their hand and places it near their face.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,Kgrdxxd90Yk_segment_151_frame_164,hand,hand near face,action,high,"The hand is lowered and positioned closer to the face, consistent with the instruction.",Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000002_00,imgedit_00000002_00.png
imgedit_00000003_00,imgedit,action,_0p7WSpGmtY_segment_16_frame_0.jpg,_0p7WSpGmtY_segment_16_frame_55.jpg,,A man with short dark hair and a goatee wearing a green jacket is looking at the camera in a dimly lit room.,A man with short dark hair and a goatee wearing a green jacket is looking at the camera with his head lowered slightly and turned more to the side in a dimly lit room.,The person lowers their head slightly and turns it more to the side.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,_0p7WSpGmtY_segment_16_frame_0,person,person with lowered head and turned side,action,high,The person's head position is altered to match the instruction.,Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000003_00,imgedit_00000003_00.png
imgedit_00000004_00,imgedit,action,aT7dRdmhT0k_segment_3_frame_52.jpg,aT7dRdmhT0k_segment_3_frame_107.jpg,,"A man in a black chef's coat stands in a kitchen, holding a measuring cup and scooping ingredients from a bowl with a spatula.","A man in a black chef's coat stands in a kitchen, holding a measuring cup and using a spatula to scoop ingredients from a bowl.",A man scoops a bowl with a spatula and holds a measuring cup.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,aT7dRdmhT0k_segment_3_frame_52,measuring cup,scoop a bowl with a spatula,action,high,The man's action of scooping has changed from holding the measuring cup to actively using the spatula to scoop the bowl.,Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000004_00,imgedit_00000004_00.png
imgedit_00000005_00,imgedit,action,rA-trXNSoEY_segment_1_frame_0.jpg,rA-trXNSoEY_segment_1_frame_55.jpg,,A woman with long blonde hair wearing a black t-shirt with a red and green logo is sitting at a black desk in a room filled with shelves of collectibles.,"A woman with long blonde hair wearing a black t-shirt with a red and green logo is sitting at a black desk in a room filled with shelves of collectibles, with her right hand lowered and the palm facing up, fingers slightly bent.",The person moves their right hand from a raised position with fingers spread to a lowered position with the palm facing up and fingers slightly bent.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,rA-trXNSoEY_segment_1_frame_0,right hand,right hand lowered with palm up and fingers slightly bent,action,high,"The right hand's position has been changed from a raised, spread-finger",Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000005_00,imgedit_00000005_00.png
imgedit_00000006_00,imgedit,action,YRQvqkNmwec_segment_10_frame_0.jpg,YRQvqkNmwec_segment_10_frame_55.jpg,,A woman with red hair is lifting a dumbbell overhead in a gym.,A woman with red hair is lowering a dumbbell from an extended overhead position in a gym.,The person lowers a dumbbell from an extended overhead position.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,YRQvqkNmwec_segment_10_frame_0,dumbbell,dumbbell,action,high,"The dumbbell is in the process of being lowered, changing its position from an overhead to a lower position.",Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000006_00,imgedit_00000006_00.png
imgedit_00000007_00,imgedit,action,8GFqKxPKA3g_segment_2_frame_0.jpg,8GFqKxPKA3g_segment_2_frame_55.jpg,,A man with long dreadlocks wearing a white t-shirt is sitting in a red chair in a spacious room with wooden floors and large windows.,"A man with long dreadlocks wearing a white t-shirt is sitting in a red chair in a spacious room with wooden floors and large windows, with his hands clasped together in front of his body.",The person changes the position of their hands from resting on the armrests to clasped together in front of their body.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,8GFqKxPKA3g_segment_2_frame_0,person,with his hands clasped together in front of his body,action,high,The hands are changed from resting on the armrests to clasped together in front of the body.,Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000007_00,imgedit_00000007_00.png
imgedit_00000008_00,imgedit,action,KLfIXWr6RsU_segment_217_frame_0.jpg,KLfIXWr6RsU_segment_217_frame_55.jpg,,"A cartoon man with a grey beard and glasses is bent over, holding a black object in front of a building.","A cartoon man with a grey beard and glasses is standing upright, holding a black object in front of a building.",The person straightens up from a bent-over position.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,KLfIXWr6RsU_segment_217_frame_0,the person,the person standing upright,action,high,The person's posture changes from bent over to standing straight.,Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000008_00,imgedit_00000008_00.png
imgedit_00000009_00,imgedit,action,aJsOeY3ZA9k_segment_27_frame_25.jpg,aJsOeY3ZA9k_segment_27_frame_80.jpg,,"A woman in a green shirt and white apron stands in a restaurant, looking surprised.",A woman in a green shirt and white apron turns her head and opens her mouth as if speaking.,The woman turns her head and opens her mouth as if speaking or reacting.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,aJsOeY3ZA9k_segment_27_frame_25,woman,woman with her head turned and mouth open,action,high,The woman's head and mouth are repositioned to show an action of speaking or reacting.,Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000009_00,imgedit_00000009_00.png
