id,source_prompt,target_prompt
000000000000,a slanted mountain bicycle on the road in front of a building,a slanted [rusty] mountain bicycle on the road in front of a building
000000000001,a [round] cake with orange frosting on a wooden plate,a [square] cake with orange frosting on a wooden plate
000000000002,a [cat] sitting on a wooden chair,a [dog] sitting on a wooden chair
000000000003,"blue light, a black and white [cat] is playing with a flower","blue light, a black and white [dog] is playing with a flower"
000000000004,a cat sitting next to a mirror,a [silver] cat [sculpture] sitting next to a mirror
000000000005,an [orange] cat sitting on top of a fence,an [black] cat sitting on top of a fence
000000000006,a cup of coffee with drawing of [tulip] putted on the wooden table,a cup of coffee with drawing of [lion] putted on the wooden table
000000000007,a german shepherd dog stands on the grass with mouth [closed],a german shepherd dog stands on the grass with mouth [opened]
000000000008,a golden retriever [holding a flower] sitting on the ground in front of fence,a golden retriever sitting on the ground in front of fence
000000000009,a [dog] is laying down on a white background,a [lion] is laying down on a white background
000000000010,photo of a [goat] and a cat standing on rocks near the ocean,photo of a [horse] and a cat standing on rocks near the ocean
000000000011,a [colorful] bird standing on a branch,a [red] bird standing on a branch
000000000012,meat [balls] on white plate,meat [sushi] on white plate
000000000013,three white [dumplings] on brown bowl,three white [sushi] on brown bowl
000000000014,a man with his hands [hanging down] standing by a house,a man with his hands [rasing] standing by a house
000000000015,white plate with [fruits] on it,white plate with [pizza] on it
000000000016,a plate with [steak] on it,a plate with [salmon] on it
000000000017,photo of a statue [in front view],photo of a statue [in side view]
000000000018,the statue of liberty holding a [torch],the statue of liberty holding a [flower]
000000000019,white [tiger] on brown ground,white [cat] on brown ground
000000000020,two birds sitting on a branch,two [origami] birds sitting on a branch
000000000021,"two parrots sitting on a stick, city street background","two [kissing] parrots sitting on a stick, city street background"
000000000022,an orange van with [surfboards] on top,an orange van with [flowers] on top
000000000023,a [gray] horse in the field,a [white] horse in the field
000000000024,a [white] horse running in the sunset,a [golden] horse running in the sunset
000000000025,a [woman] with blue hair wearing a shirt,a [storm-trooper] with blue hair wearing a shirt
000000000026,a yellow bird with a red beak sitting on a branch,a [crochet] bird with a red beak sitting on a branch
000000000027,a [opened] eyes cat sitting on wooden floor,a [closed] eyes cat sitting on wooden floor
000000000028,white flowers on a tree branch with blue sky background,[an oil painting of] white flowers on a tree branch with blue sky background
000000000029,a [kitten] walking through the grass,a [duck] walking through the grass
000000000030,a [stream] in a lush green forest with rocks,a [road] in a lush green forest with rocks
